iter	Passed	Remaining
0	6	621
1	11	566
2	15	517
3	19	463
4	23	442
5	27	425
6	31	412
7	33	390
8	36	371
9	39	354
10	41	335
11	43	318
12	45	302
13	47	289
14	49	280
15	51	270
16	53	261
17	55	254
18	58	248
19	60	241
20	62	235
21	64	229
22	66	223
23	68	218
24	70	212
25	72	207
26	75	202
27	77	198
28	79	194
29	81	189
30	83	185
31	85	181
32	87	176
33	89	173
34	91	170
35	94	167
36	96	164
37	99	161
38	101	158
39	103	155
40	105	152
41	106	147
42	108	144
43	110	141
44	113	138
45	115	135
46	117	132
47	119	129
48	121	126
49	124	124
50	126	121
51	128	118
52	130	116
53	133	113
54	134	110
55	136	107
56	139	104
57	141	102
58	143	99
59	145	97
60	147	94
61	149	91
62	152	89
63	154	86
64	156	84
65	158	81
66	161	79
67	163	77
68	166	74
69	168	72
70	170	69
71	172	67
72	175	64
73	177	62
74	179	59
75	181	57
76	184	54
77	186	52
78	188	50
79	190	47
80	192	45
81	195	42
82	197	40
83	199	37
84	201	35
85	204	33
86	206	30
87	208	28
88	210	26
89	213	23
90	215	21
91	217	18
92	219	16
93	221	14
94	223	11
95	226	9
96	228	7
97	230	4
98	232	2
99	235	0
